EventYear,Event,Market,PreAvg_USD,PostAvg_USD,Delta_USD,PreAvg_Share,PostAvg_Share,Delta_Share
2013,None,China,,14895901451.135002,,,0.21020906594291144,
2013,None,United States,,1484983271.745,,,0.020977980168974716,
2013,None,Hong Kong,,21328183687.135002,,,0.3007829010907343,
2013,None,Singapore,,12362153080.345001,,,0.1743037030160784,
2013,None,Malaysia,,2328636632.46,,,0.032838948366875245,
2013,None,Vietnam,,416298868.71500003,,,0.005876086754207198,
2013,None,Japan,,5722267905.695001,,,0.08099508937579178,
2013,None,South Korea,,6989084580.52,,,0.09876422982660646,
2013,None,TOTAL (All markets),,547164057.4842085,,,0.007722007722007722,
2013,None,China,,14895901451.135002,,,0.21020906594291144,
2013,None,United States,,1484983271.745,,,0.020977980168974716,
2013,None,Hong Kong,,21328183687.135002,,,0.3007829010907343,
2013,None,Singapore,,12362153080.345001,,,0.1743037030160784,
2013,None,Malaysia,,2328636632.46,,,0.032838948366875245,
2013,None,Vietnam,,416298868.71500003,,,0.005876086754207198,
2013,None,Japan,,5722267905.695001,,,0.08099508937579178,
2013,None,South Korea,,6989084580.52,,,0.09876422982660646,
2013,None,TOTAL (All markets),,547164057.4842085,,,0.007722007722007722,
2013,None,China,,14895901451.135002,,,0.21020906594291144,
2013,None,United States,,1484983271.745,,,0.020977980168974716,
2013,None,Hong Kong,,21328183687.135002,,,0.3007829010907343,
2013,None,Singapore,,12362153080.345001,,,0.1743037030160784,
2013,None,Malaysia,,2328636632.46,,,0.032838948366875245,
2013,None,Vietnam,,416298868.71500003,,,0.005876086754207198,
2013,None,Japan,,5722267905.695001,,,0.08099508937579178,
2013,None,South Korea,,6989084580.52,,,0.09876422982660646,
2013,None,TOTAL (All markets),,547164057.4842085,,,0.007722007722007722,
2013,None,China,,14895901451.135002,,,0.21020906594291144,
2013,None,United States,,1484983271.745,,,0.020977980168974716,
2013,None,Hong Kong,,21328183687.135002,,,0.3007829010907343,
2013,None,Singapore,,12362153080.345001,,,0.1743037030160784,
2013,None,Malaysia,,2328636632.46,,,0.032838948366875245,
2013,None,Vietnam,,416298868.71500003,,,0.005876086754207198,
2013,None,Japan,,5722267905.695001,,,0.08099508937579178,
2013,None,South Korea,,6989084580.52,,,0.09876422982660646,
2013,None,TOTAL (All markets),,547164057.4842085,,,0.007722007722007722,
2014,None,China,13051806469.57,17239442623.895,4187636154.325001,0.2077547481603975,0.23226120351753354,0.024506455357136053
2014,None,United States,1355886119.88,1428037291.005,72151171.125,0.021582589354707808,0.019499343187715238,-0.0020832461669925695
2014,None,Hong Kong,19014571673.3,21648620575.015,2634048901.715,0.30266825964470623,0.29317226707965904,-0.009495992565047184
2014,None,Singapore,11773451290.8,11252341826.99,-521109463.80999947,0.18740627311641753,0.15325608102374824,-0.034150192092669285
2014,None,Malaysia,2244017057.6,2785692189.325,541675131.7249999,0.03571959174818225,0.0374056845124438,0.00168609276426155
2014,None,Vietnam,283566252.63,423479647.52,139913394.89,0.00451372272024458,0.005748814321548625,0.0012350916013040454
2014,None,Japan,4643032231.7300005,6589467443.24,1946435211.5099993,0.07390639711465584,0.0894851691972118,0.015578772082555967
2014,None,South Korea,6118736487.37,6928830138.02,810093650.6500006,0.09739621568532728,0.09451950497789757,-0.0028767107074297027
2014,None,TOTAL (All markets),461934882.67875,578795196.023608,116860313.34485799,0.007352941176470588,0.00784313725490196,0.0004901960784313725
2014,None,China,13051806469.57,17239442623.895,4187636154.325001,0.2077547481603975,0.23226120351753354,0.024506455357136053
2014,None,United States,1355886119.88,1428037291.005,72151171.125,0.021582589354707808,0.019499343187715238,-0.0020832461669925695
2014,None,Hong Kong,19014571673.3,21648620575.015,2634048901.715,0.30266825964470623,0.29317226707965904,-0.009495992565047184
2014,None,Singapore,11773451290.8,11252341826.99,-521109463.80999947,0.18740627311641753,0.15325608102374824,-0.034150192092669285
2014,None,Malaysia,2244017057.6,2785692189.325,541675131.7249999,0.03571959174818225,0.0374056845124438,0.00168609276426155
2014,None,Vietnam,283566252.63,423479647.52,139913394.89,0.00451372272024458,0.005748814321548625,0.0012350916013040454
2014,None,Japan,4643032231.7300005,6589467443.24,1946435211.5099993,0.07390639711465584,0.0894851691972118,0.015578772082555967
2014,None,South Korea,6118736487.37,6928830138.02,810093650.6500006,0.09739621568532728,0.09451950497789757,-0.0028767107074297027
2014,None,TOTAL (All markets),461934882.67875,578795196.023608,116860313.34485799,0.007352941176470588,0.00784313725490196,0.0004901960784313725
2014,None,China,13051806469.57,17239442623.895,4187636154.325001,0.2077547481603975,0.23226120351753354,0.024506455357136053
2014,None,United States,1355886119.88,1428037291.005,72151171.125,0.021582589354707808,0.019499343187715238,-0.0020832461669925695
2014,None,Hong Kong,19014571673.3,21648620575.015,2634048901.715,0.30266825964470623,0.29317226707965904,-0.009495992565047184
2014,None,Singapore,11773451290.8,11252341826.99,-521109463.80999947,0.18740627311641753,0.15325608102374824,-0.034150192092669285
2014,None,Malaysia,2244017057.6,2785692189.325,541675131.7249999,0.03571959174818225,0.0374056845124438,0.00168609276426155
2014,None,Vietnam,283566252.63,423479647.52,139913394.89,0.00451372272024458,0.005748814321548625,0.0012350916013040454
2014,None,Japan,4643032231.7300005,6589467443.24,1946435211.5099993,0.07390639711465584,0.0894851691972118,0.015578772082555967
2014,None,South Korea,6118736487.37,6928830138.02,810093650.6500006,0.09739621568532728,0.09451950497789757,-0.0028767107074297027
2014,None,TOTAL (All markets),461934882.67875,578795196.023608,116860313.34485799,0.007352941176470588,0.00784313725490196,0.0004901960784313725
2014,None,China,13051806469.57,17239442623.895,4187636154.325001,0.2077547481603975,0.23226120351753354,0.024506455357136053
2014,None,United States,1355886119.88,1428037291.005,72151171.125,0.021582589354707808,0.019499343187715238,-0.0020832461669925695
2014,None,Hong Kong,19014571673.3,21648620575.015,2634048901.715,0.30266825964470623,0.29317226707965904,-0.009495992565047184
2014,None,Singapore,11773451290.8,11252341826.99,-521109463.80999947,0.18740627311641753,0.15325608102374824,-0.034150192092669285
2014,None,Malaysia,2244017057.6,2785692189.325,541675131.7249999,0.03571959174818225,0.0374056845124438,0.00168609276426155
2014,None,Vietnam,283566252.63,423479647.52,139913394.89,0.00451372272024458,0.005748814321548625,0.0012350916013040454
2014,None,Japan,4643032231.7300005,6589467443.24,1946435211.5099993,0.07390639711465584,0.0894851691972118,0.015578772082555967
2014,None,South Korea,6118736487.37,6928830138.02,810093650.6500006,0.09739621568532728,0.09451950497789757,-0.0028767107074297027
2014,None,TOTAL (All markets),461934882.67875,578795196.023608,116860313.34485799,0.007352941176470588,0.00784313725490196,0.0004901960784313725
2015,None,China,14148523562.025002,23170589500.0,9022065937.974998,0.20931642493612423,0.27053940840731205,0.06122298347118782
2015,None,United States,1399263540.6799998,1374603500.0,-24660040.67999983,0.020768880282710116,0.01619310956964299,-0.004575770713067126
2015,None,Hong Kong,20766888948.77,23976755500.0,3209866551.2299995,0.30708134196065207,0.2824345640629541,-0.02464677789769798
2015,None,Singapore,12473820898.755001,11865225500.0,-608595398.7550011,0.1848184015976262,0.13927046356234943,-0.045547938035276764
2015,None,Malaysia,2352898471.935,4368010000.0,2015111528.065,0.034885944592067564,0.05062696768393806,0.015741023091870497
2015,None,Vietnam,352490347.51,552207500.0,199717152.49,0.005171445644465703,0.006409112764115267,0.0012376671196495641
2015,None,Japan,4824912578.320001,6805347500.0,1980434921.6799994,0.07158115267096404,0.08032790687597578,0.00874675420501174
2015,None,South Korea,6399736686.184999,6685821000.0,286084313.81500053,0.0949033841080516,0.07885577505774904,-0.016047609050302558
2015,None,TOTAL (All markets),507959529.87481207,684654240.9638554,176694711.08904332,0.007518796992481204,0.008032128514056224,0.0005133315215750198
2015,None,China,14148523562.025002,23170589500.0,9022065937.974998,0.20931642493612423,0.27053940840731205,0.06122298347118782
2015,None,United States,1399263540.6799998,1374603500.0,-24660040.67999983,0.020768880282710116,0.01619310956964299,-0.004575770713067126
2015,None,Hong Kong,20766888948.77,23976755500.0,3209866551.2299995,0.30708134196065207,0.2824345640629541,-0.02464677789769798
2015,None,Singapore,12473820898.755001,11865225500.0,-608595398.7550011,0.1848184015976262,0.13927046356234943,-0.045547938035276764
2015,None,Malaysia,2352898471.935,4368010000.0,2015111528.065,0.034885944592067564,0.05062696768393806,0.015741023091870497
2015,None,Vietnam,352490347.51,552207500.0,199717152.49,0.005171445644465703,0.006409112764115267,0.0012376671196495641
2015,None,Japan,4824912578.320001,6805347500.0,1980434921.6799994,0.07158115267096404,0.08032790687597578,0.00874675420501174
2015,None,South Korea,6399736686.184999,6685821000.0,286084313.81500053,0.0949033841080516,0.07885577505774904,-0.016047609050302558
2015,None,TOTAL (All markets),507959529.87481207,684654240.9638554,176694711.08904332,0.007518796992481204,0.008032128514056224,0.0005133315215750198
2015,None,China,14148523562.025002,23170589500.0,9022065937.974998,0.20931642493612423,0.27053940840731205,0.06122298347118782
2015,None,United States,1399263540.6799998,1374603500.0,-24660040.67999983,0.020768880282710116,0.01619310956964299,-0.004575770713067126
2015,None,Hong Kong,20766888948.77,23976755500.0,3209866551.2299995,0.30708134196065207,0.2824345640629541,-0.02464677789769798
2015,None,Singapore,12473820898.755001,11865225500.0,-608595398.7550011,0.1848184015976262,0.13927046356234943,-0.045547938035276764
2015,None,Malaysia,2352898471.935,4368010000.0,2015111528.065,0.034885944592067564,0.05062696768393806,0.015741023091870497
2015,None,Vietnam,352490347.51,552207500.0,199717152.49,0.005171445644465703,0.006409112764115267,0.0012376671196495641
2015,None,Japan,4824912578.320001,6805347500.0,1980434921.6799994,0.07158115267096404,0.08032790687597578,0.00874675420501174
2015,None,South Korea,6399736686.184999,6685821000.0,286084313.81500053,0.0949033841080516,0.07885577505774904,-0.016047609050302558
2015,None,TOTAL (All markets),507959529.87481207,684654240.9638554,176694711.08904332,0.007518796992481204,0.008032128514056224,0.0005133315215750198
2015,None,China,14148523562.025002,23170589500.0,9022065937.974998,0.20931642493612423,0.27053940840731205,0.06122298347118782
2015,None,United States,1399263540.6799998,1374603500.0,-24660040.67999983,0.020768880282710116,0.01619310956964299,-0.004575770713067126
2015,None,Hong Kong,20766888948.77,23976755500.0,3209866551.2299995,0.30708134196065207,0.2824345640629541,-0.02464677789769798
2015,None,Singapore,12473820898.755001,11865225500.0,-608595398.7550011,0.1848184015976262,0.13927046356234943,-0.045547938035276764
2015,None,Malaysia,2352898471.935,4368010000.0,2015111528.065,0.034885944592067564,0.05062696768393806,0.015741023091870497
2015,None,Vietnam,352490347.51,552207500.0,199717152.49,0.005171445644465703,0.006409112764115267,0.0012376671196495641
2015,None,Japan,4824912578.320001,6805347500.0,1980434921.6799994,0.07158115267096404,0.08032790687597578,0.00874675420501174
2015,None,South Korea,6399736686.184999,6685821000.0,286084313.81500053,0.0949033841080516,0.07885577505774904,-0.016047609050302558
2015,None,TOTAL (All markets),507959529.87481207,684654240.9638554,176694711.08904332,0.007518796992481204,0.008032128514056224,0.0005133315215750198
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
2017,None,South Korea,6928830138.02,6738414500.0,-190415638.02000046,0.09451950497789757,0.06866281456679715,-0.02585669041110042
2017,None,TOTAL (All markets),578795196.023608,800913469.3877552,222118273.3641472,0.00784313725490196,0.008163265306122448,0.0003201280512204873
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
2017,None,South Korea,6928830138.02,6738414500.0,-190415638.02000046,0.09451950497789757,0.06866281456679715,-0.02585669041110042
2017,None,TOTAL (All markets),578795196.023608,800913469.3877552,222118273.3641472,0.00784313725490196,0.008163265306122448,0.0003201280512204873
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
