進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),108年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,715
出口總值(含復出口),108年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3125205
出口總值(含復出口),108年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),183354
出口總值(含復出口),108年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),6241637
出口總值(含復出口),108年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),49634
出口總值(含復出口),108年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),867
出口總值(含復出口),108年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),105217
出口總值(含復出口),108年,85423200902,其他記憶體, Other memories,3850274
出口總值(含復出口),108年,85423300000,放大器, Amplifiers,53511
出口總值(含復出口),108年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,6051287
出口總值(含復出口),108年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,17274920
出口總值(含復出口),108年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,5260185
出口總值(含復出口),108年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,2348885
出口總值(含復出口),108年,85423900228,其他混合積體電路, Other hybrid integrated circuits,48070140
出口總值(含復出口),108年,85423900905,其他積體電路, Other electronic integrated circuits,1492566
出口總值(含復出口),108年,85429010008,積體電路用引線架, Lead frames for integrated circuits,51046
出口總值(含復出口),108年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,27012
出口總值(含復出口),109年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,9798057
出口總值(含復出口),109年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,140
出口總值(含復出口),109年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,21
出口總值(含復出口),109年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,40
出口總值(含復出口),109年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,1
出口總值(含復出口),109年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,37
出口總值(含復出口),109年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,554
出口總值(含復出口),109年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3551442
出口總值(含復出口),109年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),237663
出口總值(含復出口),109年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),6983962
出口總值(含復出口),109年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),2873
出口總值(含復出口),109年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),100
出口總值(含復出口),109年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),67867
出口總值(含復出口),109年,85423200902,其他記憶體, Other memories,6570474
出口總值(含復出口),109年,85423300000,放大器, Amplifiers,68463
出口總值(含復出口),109年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,7374262
出口總值(含復出口),109年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,22978704
出口總值(含復出口),109年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,6133877
出口總值(含復出口),109年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,2457921
出口總值(含復出口),109年,85423900228,其他混合積體電路, Other hybrid integrated circuits,53630050
出口總值(含復出口),109年,85423900905,其他積體電路, Other electronic integrated circuits,2451899
出口總值(含復出口),109年,85429010008,積體電路用引線架, Lead frames for integrated circuits,58126
出口總值(含復出口),109年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,20900
出口總值(含復出口),110年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,15354653
出口總值(含復出口),110年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,92
出口總值(含復出口),110年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,205
出口總值(含復出口),110年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,0
出口總值(含復出口),110年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,19
出口總值(含復出口),110年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,235
出口總值(含復出口),110年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),4469652
出口總值(含復出口),110年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),326991
出口總值(含復出口),110年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),8178865
出口總值(含復出口),110年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),1383
出口總值(含復出口),110年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),7
出口總值(含復出口),110年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),95833
出口總值(含復出口),110年,85423200902,其他記憶體, Other memories,8616605
出口總值(含復出口),110年,85423300000,放大器, Amplifiers,62531
出口總值(含復出口),110年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,9356183
出口總值(含復出口),110年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,26615803
出口總值(含復出口),110年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,7283196
出口總值(含復出口),110年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,3810321
出口總值(含復出口),110年,85423900228,其他混合積體電路, Other hybrid integrated circuits,66435010
出口總值(含復出口),110年,85423900905,其他積體電路, Other electronic integrated circuits,4784429
出口總值(含復出口),110年,85429010008,積體電路用引線架, Lead frames for integrated circuits,74741
出口總值(含復出口),110年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,29302
出口總值(含復出口),111年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,16442208
出口總值(含復出口),111年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,83
出口總值(含復出口),111年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,1970
出口總值(含復出口),111年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,2
出口總值(含復出口),111年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,639
出口總值(含復出口),111年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),5336450
出口總值(含復出口),111年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),168108
出口總值(含復出口),111年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),11688575
出口總值(含復出口),111年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),1915
出口總值(含復出口),111年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),68210
出口總值(含復出口),111年,85423200902,其他記憶體, Other memories,7839255
出口總值(含復出口),111年,85423300000,放大器, Amplifiers,84365
出口總值(含復出口),111年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,12353532
出口總值(含復出口),111年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,36791540
出口總值(含復出口),111年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,6782221
出口總值(含復出口),111年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,5918817
出口總值(含復出口),111年,85423900228,其他混合積體電路, Other hybrid integrated circuits,75293126
出口總值(含復出口),111年,85423900905,其他積體電路, Other electronic integrated circuits,5247969
出口總值(含復出口),111年,85429010008,積體電路用引線架, Lead frames for integrated circuits,76378
出口總值(含復出口),111年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,41129
出口總值(含復出口),112年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,14117592
出口總值(含復出口),112年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,53
出口總值(含復出口),112年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,171
出口總值(含復出口),112年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,0
出口總值(含復出口),112年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,379
出口總值(含復出口),112年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3982634
出口總值(含復出口),112年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),138348
出口總值(含復出口),112年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),9977427
出口總值(含復出口),112年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),435
出口總值(含復出口),112年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),763
出口總值(含復出口),112年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),49497
出口總值(含復出口),112年,85423200902,其他記憶體, Other memories,6079283
出口總值(含復出口),112年,85423300000,放大器, Amplifiers,68667
出口總值(含復出口),112年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,13883317
出口總值(含復出口),112年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,32422582
出口總值(含復出口),112年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,5930470
出口總值(含復出口),112年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,5147354
出口總值(含復出口),112年,85423900228,其他混合積體電路, Other hybrid integrated circuits,70137554
出口總值(含復出口),112年,85423900905,其他積體電路, Other electronic integrated circuits,4583633
出口總值(含復出口),112年,85429010008,積體電路用引線架, Lead frames for integrated circuits,79383
出口總值(含復出口),112年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,21673
出口總值(含復出口),113年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,17157502
出口總值(含復出口),113年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,109
出口總值(含復出口),113年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,0
出口總值(含復出口),113年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,103
出口總值(含復出口),113年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,27
出口總值(含復出口),113年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,23
出口總值(含復出口),113年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,97
出口總值(含復出口),113年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),4442522
出口總值(含復出口),113年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),168112
出口總值(含復出口),113年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),8387020
出口總值(含復出口),113年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),287
出口總值(含復出口),113年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),1061
出口總值(含復出口),113年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),36294
出口總值(含復出口),113年,85423200902,其他記憶體, Other memories,7362303
出口總值(含復出口),113年,85423300000,放大器, Amplifiers,70790
出口總值(含復出口),113年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,7570901
出口總值(含復出口),113年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,37215030
出口總值(含復出口),113年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,6088848
出口總值(含復出口),113年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,6725001
出口總值(含復出口),113年,85423900228,其他混合積體電路, Other hybrid integrated circuits,64840626
出口總值(含復出口),113年,85423900905,其他積體電路, Other electronic integrated circuits,4852988
出口總值(含復出口),113年,85429010008,積體電路用引線架, Lead frames for integrated circuits,103140
出口總值(含復出口),113年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,19418
出口總值(含復出口),114年1月~114年7月(初步值),85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,15588187
出口總值(含復出口),114年1月~114年7月(初步值),85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,147
出口總值(含復出口),114年1月~114年7月(初步值),85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,2
出口總值(含復出口),114年1月~114年7月(初步值),85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,9
出口總值(含復出口),114年1月~114年7月(初步值),85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,7
出口總值(含復出口),114年1月~114年7月(初步值),85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,24
出口總值(含復出口),114年1月~114年7月(初步值),85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3335322
出口總值(含復出口),114年1月~114年7月(初步值),85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),107416
出口總值(含復出口),114年1月~114年7月(初步值),85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),8468253
出口總值(含復出口),114年1月~114年7月(初步值),85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),276
出口總值(含復出口),114年1月~114年7月(初步值),85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),387
出口總值(含復出口),114年1月~114年7月(初步值),85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),20953
出口總值(含復出口),114年1月~114年7月(初步值),85423200902,其他記憶體, Other memories,4066468
出口總值(含復出口),114年1月~114年7月(初步值),85423300000,放大器, Amplifiers,57460
出口總值(含復出口),114年1月~114年7月(初步值),85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,4129352
出口總值(含復出口),114年1月~114年7月(初步值),85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,22213931
出口總值(含復出口),114年1月~114年7月(初步值),85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,3833481
出口總值(含復出口),114年1月~114年7月(初步值),85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,5343810
出口總值(含復出口),114年1月~114年7月(初步值),85423900228,其他混合積體電路, Other hybrid integrated circuits,39471316
出口總值(含復出口),114年1月~114年7月(初步值),85423900905,其他積體電路, Other electronic integrated circuits,3053449
出口總值(含復出口),114年1月~114年7月(初步值),85429010008,積體電路用引線架, Lead frames for integrated circuits,76099
出口總值(含復出口),114年1月~114年7月(初步值),85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,8982
